ZodiacType,CharacterName,ShortName,CoreRole,Survivability,Damage,Control,Mobility,Support,Difficulty,TeamFightImpact,RecommendedLane,TeamRole,Advantages,Weaknesses,BestPartners
Rat,子鼠·夜影灵牙,影牙,潜行刺客 / 侦察收割,2,5,2,5,2,5,3,打野 / 游走,探穴侦察、绕后切入、残血收尾,爆发高、侦察灵活、收尾强,身板脆、依赖时机,金翎、天犬、铁角
Ox,丑牛·撼山铁角,铁角,重装坦克 / 开团先锋,5,2,5,2,4,3,5,上路 / 辅助前排,正面开团、举盾护队、反身保护,开团强、承伤高、保护稳,机动低、输出低,苍龙、玉灵、玉角
Tiger,寅虎·啸山白虎,白虎,爆发战士 / 目标压制,3,5,3,4,1,4,4,上路 / 打野,侧翼突进、单点压制、追击收割,单点爆发强、追击强,怕被集火控制,金翎、雷蹄、玉角
Rabbit,卯兔·踏月玉灵,玉灵,机动输出 / 月影拉扯,2,4,2,5,2,5,3,中路 / 游走,位移拉扯、月影迷惑、持续消耗,灵活、拉扯强、操作上限高,容错低、怕硬控,天犬、玉角、铁角
Dragon,辰龙·御雷苍龙,苍龙,法师核心 / 雷云控场,3,5,4,2,3,4,5,中路,雷云控场、团战法核、雷门辅助,团战输出强、控场强,依赖站位和预判,铁角、幽鳞、玉角
Snake,巳蛇·幽毒灵蛇,幽鳞,灵动控场 / 区域节奏,3,3,5,4,2,4,5,中路 / 辅助控制,区域控场、蛇纹减速、优雅脱身,区域控制强、节奏压制强,爆发一般,苍龙、铁角、金翎
Horse,午马·赤焰雷蹄,雷蹄,高机动先锋 / 跑图支援,3,4,3,5,4,3,4,打野 / 上路,快速支援、路径铺设、远程开团,支援快、开团好、节奏强,持续站场一般,白虎、玉角、天犬
Goat,未羊·玉角灵铃,玉角,治疗辅助 / 团队保护,3,1,2,3,5,3,5,辅助,治疗、护盾、净化、团队祝福,团队续航强、保护强,输出低、依赖队友,铁角、獠牙、白虎
Monkey,申猴·百戏灵猴,灵猴,高机动扰乱 / 假身换位,2,4,3,5,1,5,4,打野 / 游走,假身换位、连跳扰乱、后排干扰,操作秀、扰乱强、机动高,容错低、怕稳定控制,金翎、天犬、玉角
Rooster,酉鸡·破晓金翎,金翎,侦测辅助 / 视野控制,3,2,3,3,5,3,4,辅助,视野预警、显形照场、反埋伏,反隐强、视野强、团队价值高,正面伤害不足,影牙、白虎、灵猴
Dog,戌狗·守门天犬,天犬,守护辅助 / 反突进,4,2,4,3,5,3,5,辅助 / 上路,护主救援、反突进、守门结界,保护强、反突进强,开团不如铁角,玉灵、苍龙、金翎
Pig,亥猪·岩甲獠牙,獠牙,站场坦克 / 稳定承伤,5,3,4,2,3,2,5,上路 / 前排辅助,稳定站场、岩甲承伤、福印稳阵,站场强、耐打、团战稳定,机动低、手短,玉角、苍龙、金翎
